Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Liverpool,Mohamed Salah,eg EGY,FW,32,38,38,3371.0,37.5,29,18,47,20,9,9,1,0
Liverpool,Virgil van Dijk,nl NED,DF,33,37,37,3330.0,37.0,3,1,4,3,0,0,5,0
Liverpool,Ryan Gravenberch,nl NED,MF,22,37,37,3160.0,35.1,0,4,4,0,0,0,6,1
Liverpool,Alexis Mac Allister,ar ARG,MF,25,35,30,2599.0,28.9,5,5,10,5,0,0,6,0
Liverpool,Ibrahima Konaté,fr FRA,DF,25,31,30,2560.0,28.4,1,2,3,1,0,0,5,0
Liverpool,Dominik Szoboszlai,hu HUN,MF,23,36,29,2491.0,27.7,6,6,12,6,0,0,6,0
Liverpool,Andrew Robertson,sct SCO,DF,30,33,29,2482.0,27.6,0,1,1,0,0,0,3,1
Liverpool,Alisson,br BRA,GK,31,28,28,2508.0,27.9,0,0,0,0,0,0,0,0
Liverpool,Luis Díaz,co COL,FW,27,36,28,2399.0,26.7,13,5,18,13,0,0,2,0
Liverpool,Trent Alexander-Arnold,eng ENG,DF,25,33,28,2365.0,26.3,3,6,9,3,0,0,5,0
Liverpool,Cody Gakpo,nl NED,FW,25,35,23,1935.0,21.5,10,4,14,10,0,0,5,0
Liverpool,Curtis Jones,eng ENG,"MF,DF",23,33,19,1712.0,19.0,3,3,6,3,0,0,3,1
Liverpool,Diogo Jota,pt POR,FW,27,26,14,1196.0,13.3,6,3,9,6,0,0,2,0
Liverpool,Caoimhín Kelleher,ie IRL,GK,25,10,10,900.0,10.0,0,0,0,0,0,0,0,0
Liverpool,Kostas Tsimikas,gr GRE,DF,28,18,9,837.0,9.3,0,1,1,0,0,0,2,0
Liverpool,Darwin Núñez,uy URU,FW,25,30,8,1133.0,12.6,5,2,7,5,0,0,8,0
Liverpool,Conor Bradley,nir NIR,DF,21,19,7,754.0,8.4,0,2,2,0,0,0,4,0
Liverpool,Joe Gomez,eng ENG,DF,27,9,6,519.0,5.8,0,0,0,0,0,0,1,0
Liverpool,Jarell Quansah,eng ENG,DF,21,13,4,495.0,5.5,0,0,0,0,0,0,2,0
Liverpool,Harvey Elliott,eng ENG,MF,21,18,2,371.0,4.1,1,2,3,1,0,0,1,0
Liverpool,Wataru Endo,jp JPN,"MF,DF",31,20,1,273.0,3.0,0,0,0,0,0,0,0,0
Liverpool,Federico Chiesa,it ITA,FW,26,6,1,108.0,1.2,0,0,0,0,0,0,0,0
Liverpool,Vitezslav Jaros,cz CZE,GK,23,1,0,12.0,0.1,0,0,0,0,0,0,0,0
Liverpool,Jayden Danns,eng ENG,MF,18,1,0,11.0,0.1,0,0,0,0,0,0,0,0
Liverpool,Harvey Davies,eng ENG,GK,20,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Liverpool,James McConnell,eng ENG,MF,19,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Liverpool,Tyler Morton,eng ENG,MF,21,0,0,0.0,0.0,0,0,0,0,0,0,0,0
